hotel_title,address,placeTitle,rang_title,reating,status,parking,price
Lockwood Hotel Murree,"Imtiaz Shaheed Road, Murree, 47150, Punjab",Murree,"1.6 miles to city centre
0.2 miles to Mall Road","10.0
.",Exceptional," Free parking
 Airport transfer
 Restaurant",$80
Arcadian Blue Pines,"Lawrence College Rd, Murree, 26281",Murree,"2.8 miles to city centre
1.8 miles to Mall Road","2.0
.",N/A," Free parking
 Restaurant",$110
Shangrila Resort Hotel Murree,"Lawrence Collage Road, Murree, 47150",Murree,"2.3 miles to city centre
1.0 mile to Mall Road","8.0
.",Very Good," Free parking
 Restaurant
 Bar
 Bathtub",$114
Hotel One Bhurban,"Golfers Lane, Mozra Mohra Esawal, Murree, 47150",Murree,"1.6 miles to city centre
0.2 miles to Mall Road","7.8
.",Good," Free parking
 Restaurant",$74
Hotel One Mall Road Murree,"Jawa Building, GPO Chowk, The Mall, Murree, 41750",Murree,"1.1 miles to city centre
0.3 miles to Mall Road","7.0
.",Good," Free parking
 Restaurant",$55
Grand Homes Hotel,"Cuart Road, Murree, 47150, Punjab",Murree,"1.6 miles to city centre
0.3 miles to Mall Road",N/A,N/A," Free parking
 Restaurant",$55
Maisonette Morningside,"Morning Side, Next To Governor House,, Murree, 47150, Punjab",Murree,"0.9 miles to city centre
1.3 miles to Mall Road",N/A,N/A," Free parking
 Restaurant",$319
The Opulent Resort & Conference,"Kashmiri Bazar, Bhurban, Murree, 47150, Punjab",Murree,"3.0 miles to city centre
3.8 miles to Mall Road",N/A,N/A," Free parking
 Restaurant",$80
Mughal Villaz Murree,"Murree, Khyber Pakhtunkhwa",Murree,"1.4 miles to city centre
0.1 miles to Mall Road",N/A,N/A, Free parking,$90
Hotel Four Star,"Cart Rd, Murree, 47150, Khyber Pakhtunkhwa",Murree,"1.7 miles to city centre
0.4 miles to Mall Road",N/A,N/A, Free parking,$72
The Legacy British Era Cottages,"105 Imtiaz Shaheed Road, Murree, 47195, Khyber Pakhtunkhwa",Murree,"1.6 miles to city centre
0.2 miles to Mall Road",N/A,N/A," Free parking
 Restaurant",$59
Hotel Felton,"Near GPO, Murree, 47150",Murree,"1.4 miles to city centre
0.1 miles to Mall Road","2.0
.",N/A, Free parking,$37
Hotel Fare Field Homes Murree,"Plot # E-56, Hall Road, Murree, 47150, Khyber Pakhtunkhwa",Murree,"1.4 miles to city centre
0.1 miles to Mall Road",N/A,N/A, Free parking,$90
Mountain Tower Hotel,"Rich Villa Estate, Murree, 47150, Khyber Pakhtunkhwa",Murree,"1.7 miles to city centre
0.3 miles to Mall Road",N/A,N/A, Free parking,$45
Muree Continental Hotel,"Opposite Swat Shoping Mall, Murree, 19200, Khyber Pakhtunkhwa",Murree,"1.3 miles to city centre
0.4 miles to Mall Road",N/A,N/A, Free parking,$50
